Date,Open Price,Close Price,High Price,Low Price,Volume
05-Jun-2013,6558.52,6419.31,6558.52,6419.31,661430720
06-Jun-2013,6419.33,6336.11,6435.39,6336.11,676900672
07-Jun-2013,6336.13,6411.99,6421.37,6313.60,725967104
10-Jun-2013,6411.68,6400.45,6421.24,6379.62,576011072
11-Jun-2013,6400.75,6340.08,6401.18,6280.08,727668864
12-Jun-2013,6339.93,6299.45,6364.26,6295.92,658075392
13-Jun-2013,6299.16,6304.63,6310.95,6205.71,785815040
14-Jun-2013,6304.68,6308.26,6343.51,6290.62,726451584
17-Jun-2013,6309.53,6330.49,6370.75,6309.41,570247104
18-Jun-2013,6330.45,6374.21,6397.33,6311.35,599620672
19-Jun-2013,6374.11,6348.82,6383.61,6327.01,694780032
20-Jun-2013,6348.66,6159.51,6348.66,6144.98,866962176
21-Jun-2013,6159.52,6116.17,6244.17,6116.17,1417213056
24-Jun-2013,6116.03,6029.10,6136.11,6023.44,726420224
25-Jun-2013,6029.17,6101.91,6114.61,6029.17,682366336
26-Jun-2013,6101.95,6165.48,6177.92,6089.21,740440448
27-Jun-2013,6165.45,6243.40,6271.80,6165.45,735913536
28-Jun-2013,6243.33,6215.47,6268.84,6207.72,899661184
01-Jul-2013,6215.47,6307.78,6317.02,6215.44,631968320
02-Jul-2013,6307.78,6303.94,6314.13,6266.50,540880640
03-Jul-2013,6303.94,6229.87,6303.94,6185.21,576862272
04-Jul-2013,6229.87,6421.67,6431.41,6229.87,730087424
05-Jul-2013,6421.67,6375.52,6498.59,6364.38,683058240
08-Jul-2013,6375.52,6450.07,6476.09,6375.52,550451712
09-Jul-2013,6450.07,6513.08,6530.86,6450.07,645287360
10-Jul-2013,6513.08,6504.96,6535.91,6472.41,591089728
11-Jul-2013,6504.96,6543.41,6585.74,6504.96,627486208
12-Jul-2013,6543.41,6544.94,6583.90,6540.24,577899392
15-Jul-2013,6544.94,6586.11,6605.90,6544.94,508332672
16-Jul-2013,6586.11,6556.35,6606.42,6556.35,652938816
17-Jul-2013,6556.35,6571.93,6595.62,6517.38,634099264
18-Jul-2013,6571.93,6634.36,6657.38,6555.82,595664704
19-Jul-2013,6634.36,6630.67,6635.22,6592.10,687327488
22-Jul-2013,6630.67,6623.17,6645.01,6608.17,430263808
23-Jul-2013,6623.17,6597.44,6657.66,6597.44,578085888
24-Jul-2013,6597.44,6620.43,6662.19,6581.61,564700032
25-Jul-2013,6620.43,6587.95,6625.35,6540.42,486181120
26-Jul-2013,6587.95,6554.79,6629.89,6535.18,417851520
29-Jul-2013,6554.79,6560.25,6606.36,6544.14,470313152
30-Jul-2013,6560.25,6570.95,6600.72,6560.25,688955392
31-Jul-2013,6570.95,6621.06,6659.35,6556.65,640163712
01-Aug-2013,6621.06,6681.98,6681.98,6607.27,954611456
02-Aug-2013,6681.98,6647.87,6696.63,6623.85,626958400
05-Aug-2013,6647.87,6619.58,6684.95,6590.10,589505344
06-Aug-2013,6619.58,6604.21,6630.14,6562.32,628298304
07-Aug-2013,6604.21,6511.21,6624.99,6511.21,624139712
08-Aug-2013,6511.21,6529.68,6558.59,6507.24,535835328
09-Aug-2013,6529.68,6583.39,6601.21,6529.48,615169536
12-Aug-2013,6583.39,6574.34,6598.39,6547.00,460246688
13-Aug-2013,6574.34,6611.94,6620.43,6568.44,537940800
14-Aug-2013,6611.94,6587.43,6627.96,6582.58,602573696
15-Aug-2013,6587.43,6483.34,6587.88,6460.12,632435776
16-Aug-2013,6483.34,6499.99,6502.27,6461.30,615527424
19-Aug-2013,6499.99,6465.73,6506.59,6457.73,438386816
20-Aug-2013,6465.73,6453.46,6465.73,6398.63,604884416
21-Aug-2013,6453.46,6390.84,6453.55,6386.72,570917312
22-Aug-2013,6390.84,6446.87,6468.88,6390.62,487800000
23-Aug-2013,6446.87,6492.10,6516.71,6422.35,475411456
27-Aug-2013,6492.10,6440.97,6494.20,6424.00,686885248
28-Aug-2013,6440.97,6430.06,6440.97,6393.65,696986944
29-Aug-2013,6430.06,6483.05,6500.51,6429.95,860943616
30-Aug-2013,6483.05,6412.93,6502.19,6409.60,758355840
02-Sep-2013,6412.93,6506.19,6532.30,6412.93,541175424
03-Sep-2013,6506.19,6468.41,6523.16,6456.95,727235456
04-Sep-2013,6468.41,6474.74,6486.40,6423.51,644177792
05-Sep-2013,6474.74,6532.44,6543.22,6461.68,697821376
06-Sep-2013,6532.44,6547.33,6568.18,6492.49,567496576
09-Sep-2013,6547.33,6530.74,6555.86,6508.76,563722624
10-Sep-2013,6530.74,6583.99,6599.51,6530.74,697344000
11-Sep-2013,6583.99,6588.43,6589.85,6559.72,672899456
12-Sep-2013,6588.43,6588.98,6606.12,6558.61,594425600
13-Sep-2013,6588.98,6583.80,6588.98,6561.78,483740224
16-Sep-2013,6583.80,6622.86,6652.66,6583.80,552824576
17-Sep-2013,6622.86,6570.17,6623.04,6570.17,1141151616
18-Sep-2013,6570.17,6558.82,6587.58,6532.50,691202624
19-Sep-2013,6558.82,6625.39,6659.12,6558.82,760780992
20-Sep-2013,6625.39,6596.43,6629.93,6594.17,1491614592
23-Sep-2013,6596.43,6557.37,6601.53,6542.67,588785216
24-Sep-2013,6557.37,6571.46,6585.40,6549.92,635258048
25-Sep-2013,6571.46,6551.53,6587.97,6526.42,787510720
26-Sep-2013,6551.53,6565.59,6580.94,6535.78,543359040
27-Sep-2013,6565.59,6512.66,6568.94,6487.30,540388032
30-Sep-2013,6512.66,6462.22,6512.66,6438.72,644276864
01-Oct-2013,6462.22,6460.01,6466.30,6424.37,592063168
02-Oct-2013,6460.01,6437.50,6460.01,6386.18,567415424
03-Oct-2013,6437.50,6449.04,6472.43,6436.21,598212928
04-Oct-2013,6449.04,6453.88,6473.58,6428.96,509149984
07-Oct-2013,6453.88,6437.28,6453.88,6391.47,472032512
08-Oct-2013,6437.28,6365.83,6437.73,6364.97,605251008
09-Oct-2013,6365.83,6337.91,6372.63,6316.91,581865856
10-Oct-2013,6337.91,6430.49,6446.22,6337.91,583126336
11-Oct-2013,6430.49,6487.19,6489.16,6430.47,526227232
14-Oct-2013,6467.37,6507.65,6507.80,6464.44,432853280
15-Oct-2013,6507.65,6549.11,6569.28,6507.65,562436032
16-Oct-2013,6549.11,6571.59,6584.39,6504.27,582748352
17-Oct-2013,6571.59,6576.16,6576.16,6529.16,605072128
18-Oct-2013,6576.16,6622.58,6622.70,6576.16,704888896
21-Oct-2013,6622.58,6654.20,6654.20,6617.81,467078944
22-Oct-2013,6654.20,6695.66,6719.27,6653.70,571206208
23-Oct-2013,6695.66,6674.48,6695.92,6655.20,630616064
24-Oct-2013,6674.48,6713.18,6719.25,6674.16,590050560
25-Oct-2013,6713.18,6721.34,6729.74,6700.37,561828160
28-Oct-2013,6721.34,6725.82,6739.66,6704.15,586108992
29-Oct-2013,6725.82,6774.73,6777.16,6718.85,773654656
30-Oct-2013,6774.73,6777.70,6819.86,6763.66,648574528
31-Oct-2013,6777.70,6731.43,6778.27,6719.51,734231168
01-Nov-2013,6731.43,6734.74,6760.87,6715.30,669495424
04-Nov-2013,6734.74,6763.62,6780.11,6734.56,501699744
05-Nov-2013,6763.62,6746.84,6773.86,6708.52,718615872
06-Nov-2013,6746.84,6741.69,6768.16,6735.64,626808960
07-Nov-2013,6741.69,6697.22,6779.18,6679.99,636655296
08-Nov-2013,6697.22,6708.42,6713.90,6643.86,589977408
11-Nov-2013,6708.42,6728.37,6744.77,6702.01,624370368
12-Nov-2013,6728.37,6726.79,6728.37,6693.26,583231808
13-Nov-2013,6726.79,6630.00,6726.81,6613.98,695023424
14-Nov-2013,6630.00,6666.13,6696.16,6630.00,615308864
15-Nov-2013,6666.13,6693.44,6703.12,6665.45,579947456
18-Nov-2013,6693.44,6723.46,6732.10,6671.63,503386208
19-Nov-2013,6723.46,6698.01,6723.46,6677.85,498969312
20-Nov-2013,6698.01,6681.08,6711.42,6661.70,553127488
21-Nov-2013,6681.08,6681.33,6697.69,6643.47,481377792
22-Nov-2013,6681.33,6674.30,6711.03,6661.04,494888384
25-Nov-2013,6674.30,6694.62,6709.08,6674.30,454214080
26-Nov-2013,6694.62,6636.22,6696.95,6636.22,822950528
27-Nov-2013,6636.22,6649.47,6664.14,6635.71,600783232
28-Nov-2013,6649.47,6654.47,6679.51,6642.57,459217024
29-Nov-2013,6654.47,6650.57,6681.57,6648.53,532437600
02-Dec-2013,6650.57,6595.33,6657.41,6595.20,550660416
03-Dec-2013,6595.33,6532.43,6595.48,6531.34,682695424
04-Dec-2013,6532.43,6509.97,6544.70,6479.73,775556224
05-Dec-2013,6509.97,6498.33,6518.88,6487.15,554025088
06-Dec-2013,6498.33,6551.99,6555.73,6496.33,556843648
09-Dec-2013,6551.99,6559.48,6568.44,6534.74,503682144
10-Dec-2013,6559.48,6523.31,6571.91,6519.00,551026304
11-Dec-2013,6523.31,6507.72,6555.57,6507.72,521077440
12-Dec-2013,6507.72,6445.25,6507.72,6435.99,660172736
13-Dec-2013,6445.25,6439.96,6462.76,6433.51,670891456
16-Dec-2013,6439.96,6522.20,6531.16,6422.23,588865408
17-Dec-2013,6522.20,6486.19,6522.20,6482.59,580607936
18-Dec-2013,6486.19,6492.08,6524.46,6486.19,527437472
